BussinessName,broker name,phone,website,address,email,totalScore,reviewsCount,street,city,state,countryCode,categories,categoryName,url
"Oceanview Estates Brokerage","Sarah Jenkins","+1 305-555-0101","https://oceanviewestates.com","101 Ocean Drive, Miami, Florida, US","info@oceanviewestates.com",4.8,142,"101 Ocean Drive","Miami","Florida","US","real_estate_agency","Real Estate Agency","https://maps.google.com/?cid=121"
"Summit Peak Properties","Marcus Aurelius","+1 303-555-0202","https://summitpeakprops.com","450 Alpine Ridge Road, Denver, Colorado, US","listings@summitpeakprops.com",4.5,88,"450 Alpine Ridge Road","Denver","Colorado","US","real_estate_agent","Real Estate Agent","https://maps.google.com/?cid=122"
"Golden Gate Realty Group","Diana Prince","+1 415-555-0303","https://goldengaterealty.com","1200 Market Street, San Francisco, California, US","team@goldengaterealty.com",4.9,250,"1200 Market Street","San Francisco","California","US","real_estate_agency","Real Estate Agency","https://maps.google.com/?cid=123"
"Lakeside Living Agent","Clark Kent","+1 312-555-0404","https://lakesidelivingchi.com","88 Lakeview Parkway, Chicago, Illinois, US","contact@lakesidelivingchi.com",3.9,45,"88 Lakeview Parkway","Chicago","Illinois","US","real_estate_agent","Real Estate Agent","https://maps.google.com/?cid=124"
"Evergreen Forest Brokerage","Bruce Wayne","+1 206-555-0505","https://evergreenforestre.com","700 Pine Needle Way, Seattle, Washington, US","support@evergreenforestre.com",4.2,64,"700 Pine Needle Way","Seattle","Washington","US","real_estate_agency","Real Estate Agency","https://maps.google.com/?cid=125"
"Lone Star Ranches","Tony Stark","+1 210-555-0606","https://lonestarranches.net","1836 Alamo Plaza, San Antonio, Texas, US","info@lonestarranches.net",4.7,110,"1836 Alamo Plaza","San Antonio","Texas","US","real_estate_agency","Real Estate Agency","https://maps.google.com/?cid=126"
"Highrise Condos Miami","Barry Allen","+1 305-555-0707","https://highrisemiamicondos.com","55 Brickell Avenue, Miami, Florida, US","sales@highrisemiamicondos.com",4.1,28,"55 Brickell Avenue","Miami","Florida","US","real_estate_agent","Real Estate Agent","https://maps.google.com/?cid=127"
"Desert Sun Homes","Arthur Curry","+1 602-555-0808","https://desertsunhomes.org","8900 Camelback Road, Phoenix, Arizona, US","inquiries@desertsunhomes.org",4.4,75,"8900 Camelback Road","Phoenix","Arizona","US","real_estate_agent","Real Estate Agent","https://maps.google.com/?cid=128"
"Rocky Mountain Cabins","Peter Parker","+1 303-555-0909","https://rockymtncabins.com","10 Rocky Mountain Road, Denver, Colorado, US","rentals@rockymtncabins.com",4.6,92,"10 Rocky Mountain Road","Denver","Colorado","US","real_estate_agency","Real Estate Agency","https://maps.google.com/?cid=129"
"Pacific Coast Luxury Agent","Stephen Strange","+1 310-555-1010","https://malibuluxurylisting.com","1 Pacific Coast Highway, Malibu, California, US","deals@malibuluxurylisting.com",5.0,185,"1 Pacific Coast Highway","Malibu","California","US","real_estate_agent","Real Estate Agent","https://maps.google.com/?cid=130"
